t,a
7.00092268,0.031738281
7.006449699,0.088623047
7.011976719,0.074462891
7.017510414,0.095947266
7.023043871,0.113769531
7.028580666,0.148193359
7.034115076,0.147216797
7.03964448,0.114501953
7.045172691,0.047851563
7.050699711,0.007080078
7.056230783,-0.039306641
7.061789036,-0.154296875
7.067324162,-0.139160156
7.07285428,-0.248779297
7.078390121,-0.266357422
7.083921194,-0.298095703
7.089446306,-0.363525391
7.09497261,-0.414550781
7.100503206,-0.421142578
7.106031656,-0.479492188
7.111558914,-0.471191406
7.117093563,-0.475341797
7.122620344,-0.457275391
7.128154516,-0.417724609
7.133686781,-0.361083984
7.139219761,-0.254638672
7.144750357,-0.194580078
7.150274992,-0.136474609
7.155802011,-0.123046875
7.161357164,-0.100341797
7.166885614,-0.150634766
7.172408342,-0.16015625
7.177968979,-0.202880859
7.183657885,-0.215576172
7.189264536,-0.266601563
7.195158482,-0.274414063
7.200664043,-0.272705078
7.206148148,-0.286621094
7.211638451,-0.313720703
7.217347145,-0.304931641
7.222840309,-0.326171875
7.22833395,-0.325195313
7.233853102,-0.323486328
7.239447594,-0.283935547
7.244955063,-0.293457031
7.250455618,-0.315185547
7.256060123,-0.341796875
7.261607885,-0.377197266
7.267121792,-0.457275391
7.272624493,-0.511962891
7.278184891,-0.618408203
7.283782005,-0.669433594
7.289290667,-0.724365234
7.294793844,-0.764892578
7.300379038,-0.786621094
7.305891514,-0.770507813
7.311400175,-0.774169922
7.31698823,-0.746337891
7.32250309,-0.709228516
7.328009367,-0.689453125
7.333529711,-0.686035156
7.339092016,-0.688476563
7.344603777,-0.66015625
7.350110769,-0.637451172
7.355614424,-0.599121094
7.361241579,-0.573730469
7.366757154,-0.547607422
7.372261524,-0.517333984
7.37779212,-0.479980469
7.383352518,-0.445068359
7.388861895,-0.407714844
7.394364119,-0.392822266
7.399898052,-0.323486328
7.405405045,-0.254638672
7.410909891,-0.315917969
7.416418552,-0.273193359
7.422018766,-0.378662109
7.427530766,-0.312011719
7.433048248,-0.385009766
7.438637733,-0.380371094
7.444151163,-0.382324219
7.449647188,-0.348388672
7.455133677,-0.308349609
7.460742474,-0.233398438
7.466278076,-0.105712891
7.471781492,-0.026855469
7.477314949,0.059082031
7.482938528,0.099365234
7.488452435,0.085205078
7.493963718,0.053222656
7.499518394,-0.035888672
7.505036116,-0.171875
7.510544062,-0.333740234
7.516048908,-0.474121094
7.521621943,-0.584472656
7.52712822,-0.614501953
7.532646894,-0.597412109
7.53815341,-0.548583984
7.543733358,-0.505371094
7.54924655,-0.427734375
7.554748297,-0.349121094
7.560373068,-0.158691406
7.565921307,-0.085693359
7.571426868,-0.061279297
7.576933861,-0.035888672
7.582645416,-0.030273438
7.588154316,-0.064941406
7.593661547,-0.110351563
